record_id,journal_name,pub_year,subject_terms,cluster_id
88860,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2012,"Computer Science, Information Systems,Computer Science",2
88861,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2012,"Computer Science, Information Systems,Computer Science",2
88862,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2013,"Computer Science, Information Systems,Computer Science",0
88863,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2013,"Computer Science, Information Systems,Computer Science",2
88864,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2013,"Computer Science, Information Systems,Computer Science",3
88865,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2013,"Computer Science, Information Systems,Computer Science",2
88866,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2014,"Computer Science, Information Systems,Computer Science",0
88867,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2014,"Computer Science, Information Systems,Computer Science",3
88868,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2014,"Computer Science, Information Systems,Computer Science",0
88869,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2014,"Computer Science, Information Systems,Computer Science",3
88871,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2015,"Computer Science, Information Systems,Computer Science",0
88872,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2015,"Computer Science, Information Systems,Computer Science",3
88873,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2015,"Computer Science, Information Systems,Computer Science",2
